player_name,player_url,player_id,full_name,position,current_club,status
Scott Carson,https://www.transfermarkt.com/scott-carson/profil/spieler/14555,14555,Scott Carson,Goalkeeper,N/A,Success
Craig Cathcart,https://www.transfermarkt.com/craig-cathcart/profil/spieler/59606,59606,Craig Cathcart,Defender - Centre-Back,N/A,Success
Lee Cattermole,https://www.transfermarkt.com/lee-cattermole/profil/spieler/37363,37363,Lee Cattermole,Midfield - Defensive Midfield,N/A,Success
Marek Čech,https://www.transfermarkt.com/marek-ech/profil/spieler/21354,21354,Marek Cech,Defender - Left-Back,N/A,Success
Petr Čech,https://www.transfermarkt.com/petr-ech/profil/spieler/5658,5658,Petr Cech,Goalkeeper,N/A,Success
Marouane Chamakh,https://www.transfermarkt.com/marouane-chamakh/profil/spieler/19085,19085,Marouane Chamakh,Attack - Centre-Forward,N/A,Success
Pascal Chimbonda,https://www.transfermarkt.com/pascal-chimbonda/profil/spieler/18875,18875,Pascal Chimbonda,Defender - Right-Back,N/A,Success
Ciaran Clark,https://www.transfermarkt.com/ciaran-clark/profil/spieler/98240,98240,Ciaran Clark,Defender - Centre-Back,N/A,Success
Tom Cleverley,https://www.transfermarkt.com/tom-cleverley/profil/spieler/73484,73484,Tom Cleverley,Midfield - Central Midfield,N/A,Success
Gaël Clichy,https://www.transfermarkt.com/gal-clichy/profil/spieler/7449,7449,Gaël Clichy,Defender - Left-Back,N/A,Success
Tamir Cohen,https://www.transfermarkt.com/tamir-cohen/profil/spieler/24209,24209,Tamir Cohen,Midfield - Central Midfield,N/A,Success
Jack Colback,https://www.transfermarkt.com/jack-colback/profil/spieler/61644,61644,Jack Colback,Midfield - Defensive Midfield,Anstey Nomads,Success
Ashley Cole,https://www.transfermarkt.com/ashley-cole/profil/spieler/3182,3182,Ashley Cole,Defender - Left-Back,N/A,Success
Carlton Cole,https://www.transfermarkt.com/carlton-cole/profil/spieler/3179,3179,Carlton Cole,Attack - Centre-Forward,N/A,Success
Joe Cole,https://www.transfermarkt.com/joe-cole/profil/spieler/3876,3876,Joe Cole,Midfield - Attacking Midfield,N/A,Success
Séamus Coleman,https://www.transfermarkt.com/samus-coleman/profil/spieler/68390,68390,Séamus Coleman,Defender - Right-Back,Everton,Success
Danny Collins,https://www.transfermarkt.com/danny-collins/profil/spieler/26183,26183,Danny Collins,Defender - Centre-Back,N/A,Success
James Collins,https://www.transfermarkt.com/james-collins/profil/spieler/12691,12691,James Collins,Defender - Centre-Back,N/A,Success
Jack Collison,https://www.transfermarkt.com/jack-collison/profil/spieler/61568,61568,Jack Collison,Midfield - Central Midfield,N/A,Success
Fabricio Coloccini,https://www.transfermarkt.com/fabricio-coloccini/profil/spieler/6150,6150,Fabricio Coloccini,Defender - Centre-Back,N/A,Success
Jordan Cook,https://www.transfermarkt.com/jordan-cook/profil/spieler/61646,61646,Jordan Cook,Attack - Centre-Forward,Without Club,Success
Vedran Ćorluka,https://www.transfermarkt.com/vedran-orluka/profil/spieler/34393,34393,Vedran Corluka,Defender - Centre-Back,N/A,Success
Manuel da Costa,https://www.transfermarkt.com/manuel-da-costa/profil/spieler/37398,37398,Manuel da Costa,Defender - Centre-Back,N/A,Success
Simon Cox,https://www.transfermarkt.com/simon-cox/profil/spieler/37150,37150,Simon Cox,Attack - Centre-Forward,N/A,Success
Jody Craddock,https://www.transfermarkt.com/jody-craddock/profil/spieler/4129,4129,Jody Craddock,Defender - Centre-Back,N/A,Success
Stephen Crainey,https://www.transfermarkt.com/stephen-crainey/profil/spieler/9499,9499,Stephen Crainey,Defender - Left-Back,N/A,Success
Peter Crouch,https://www.transfermarkt.com/peter-crouch/profil/spieler/4072,4072,Peter Crouch,Attack - Centre-Forward,N/A,Success
Carlo Cudicini,https://www.transfermarkt.com/carlo-cudicini/profil/spieler/3151,3151,Carlo Cudicini,Goalkeeper,N/A,Success
Carlos Cuéllar,https://www.transfermarkt.com/carlos-cullar/profil/spieler/16576,16576,Carlos Cuéllar,Defender - Centre-Back,N/A,Success
Scott Dann,https://www.transfermarkt.com/scott-dann/profil/spieler/62688,62688,Scott Dann,Defender - Centre-Back,N/A,Success
Curtis Davies,https://www.transfermarkt.com/curtis-davies/profil/spieler/18227,18227,Curtis Davies,Defender - Centre-Back,N/A,Success
Kevin Davies,https://www.transfermarkt.com/kevin-davies/profil/spieler/4114,4114,Kevin Davies,Attack - Centre-Forward,N/A,Success
Mark Davies,https://www.transfermarkt.com/mark-davies/profil/spieler/36917,36917,Mark Davies,Midfield - Central Midfield,N/A,Success
Simon Davies,https://www.transfermarkt.com/simon-davies/profil/spieler/4056,4056,Simon Davies,Midfield - Right Midfield,N/A,Success
Michael Dawson,https://www.transfermarkt.com/michael-dawson/profil/spieler/9988,9988,Michael Dawson,Defender - Centre-Back,N/A,Success
Jermain Defoe,https://www.transfermarkt.com/jermain-defoe/profil/spieler/3875,3875,Jermain Defoe,Attack - Centre-Forward,N/A,Success
Nathan Delfouneso,https://www.transfermarkt.com/nathan-delfouneso/profil/spieler/62642,62642,Nathan Delfouneso,Attack - Centre-Forward,N/A,Success
Fabian Delph,https://www.transfermarkt.com/fabian-delph/profil/spieler/50362,50362,Fabian Delph,Midfield - Central Midfield,N/A,Success
Mousa Dembélé,https://www.transfermarkt.com/mousa-dembl/profil/spieler/19368,19368,Mousa Dembélé,Midfield - Central Midfield,N/A,Success
Ishmel Demontagnac,https://www.transfermarkt.com/ishmel-demontagnac/profil/spieler/42188,42188,Ishmel Demontagnac,Attack - Left Winger,N/A,Success
Clint Dempsey,https://www.transfermarkt.com/clint-dempsey/profil/spieler/27577,27577,Clint Dempsey,Attack - Second Striker,N/A,Success
Edwin van der Sar,https://www.transfermarkt.com/edwin-van-der-sar/profil/spieler/3516,3516,Edwin van der Sar,Goalkeeper,N/A,Success
Rafael van der Vaart,https://www.transfermarkt.com/rafael-van-der-vaart/profil/spieler/4192,4192,Rafael van der Vaart,Midfield - Attacking Midfield,N/A,Success
Matt Derbyshire,https://www.transfermarkt.com/matt-derbyshire/profil/spieler/15175,15175,Matt Derbyshire,Attack - Centre-Forward,Matlock,Success
Franco Di Santo,https://www.transfermarkt.com/franco-di-santo/profil/spieler/59783,59783,Franco Di Santo,Attack - Centre-Forward,N/A,Success
Abou Diaby,https://www.transfermarkt.com/abou-diaby/profil/spieler/26763,26763,Abou Diaby,Midfield - Central Midfield,N/A,Success
Alessandro Diamanti,https://www.transfermarkt.com/alessandro-diamanti/profil/spieler/23197,23197,Alessandro Diamanti,Midfield - Attacking Midfield,N/A,Success
