player_name,player_url,status,transfermarkt_id,player_slug,home_name,dob_age,place_birth,height,citizenship,position,foot,agent,current_club,joined,contract_expires,outfitter,injury_count_total,days_missed_total,games_missed_total,retired,retirement_date,shirt_number,injury_seasons
Carlos Salcido,https://www.transfermarkt.com/carlos-salcido/profil/spieler/31434,Success,31434,spieler,Carlos Salcido,02/04/1980 (45),Ocotlán,"1,78 m",Mexico,Defender - Centre-Back,right,Not found,Tiburones Rojos,1/1/2020,-,Not found,1,14,2,Yes,1/1/2020,Not found,1
Míchel Salgado,https://www.transfermarkt.com/mchel-salgado/profil/spieler/7515,Success,7515,spieler,Míchel Salgado,22/10/1975 (50),As Neves,"1,74 m",Spain,Defender - Right-Back,right,Not found,Independiente,29/04/2018,-,Not found,1,72,12,Yes,29/04/2018,Not found,1
Christopher Samba,https://www.transfermarkt.com/christopher-samba/profil/spieler/29016,Success,29016,spieler,Christopher Samba,28/03/1984 (41),Créteil,N/A,Congo  France,Defender - Centre-Back,N/A,Not found,Aston Villa,1/7/2018,-,Not found,7,365,47,Yes,1/7/2018,Not found,4
Conor Sammon,https://www.transfermarkt.com/conor-sammon/profil/spieler/68331,Success,68331,spieler,Conor Sammon,06/11/1986 (39),Dublin,"1,88 m",Ireland,Attack - Centre-Forward,right,Not found,Alloa Athletic,1/7/2021,31/05/2026,Not found,2,27,2,No,Not found,18,2
Sandro,https://www.transfermarkt.com/sandro/profil/spieler/315853,Success,315853,spieler,Alessandro Bastoni,13/04/1999 (26),Casalmaggiore,"1,90 m",Italy,Defender - Centre-Back,left,Not found,Inter,31/08/2017,30/06/2028,Puma,15,170,31,No,Not found,95,6
Tuncay Şanlı,https://www.transfermarkt.com/tuncay-anl/profil/spieler/6934,Success,6934,spieler,Tuncay Şanlı,16/01/1982 (43),Sakarya,"1,82 m",Türkiye,Attack - Left Winger,both,Not found,Pune City,1/1/2016,-,Not found,5,134,26,Yes,1/1/2016,Not found,4
Roque Santa Cruz,https://www.transfermarkt.com/roque-santa-cruz/profil/spieler/215,Success,215,spieler,Roque Santa Cruz,16/08/1981 (44),Asunción,"1,93 m",Paraguay  Spain,Attack - Centre-Forward,right,Not found,Libertad,1/1/2022,-,Puma,15,696,110,No,Not found,24,7
Paul Scharner,https://www.transfermarkt.com/paul-scharner/profil/spieler/2953,Success,2953,spieler,Paul Scharner,11/03/1980 (45),Scheibbs,N/A,Austria,Midfield - Defensive Midfield,N/A,Not found,Melk,1/7/2019,-,Not found,5,124,22,Yes,1/7/2019,Not found,3
Paul Scholes,https://www.transfermarkt.com/paul-scholes/profil/spieler/3397,Success,3397,spieler,Paul Scholes,16/11/1974 (51),Salford,"1,68 m",England,Midfield - Central Midfield,right,Not found,Man Utd,1/7/2013,-,Not found,5,299,60,Yes,1/7/2013,Not found,4
Mark Schwarzer,https://www.transfermarkt.com/mark-schwarzer/profil/spieler/3357,Success,3357,spieler,Mark Schwarzer,06/10/1972 (53),Sydney,N/A,Australia  Germany,Goalkeeper,N/A,Not found,Leicester,1/7/2016,-,Not found,3,84,18,Yes,1/7/2016,Not found,3
Freddie Sears,https://www.transfermarkt.com/freddie-sears/profil/spieler/70714,Success,70714,spieler,Freddie Sears,27/11/1989 (35),Hornchurch,"1,70 m",England,Attack - Second Striker,right,Not found,Maldon/Tiptree,1/7/2025,-,Not found,2,338,50,No,Not found,Not found,2
Philippe Senderos,https://www.transfermarkt.com/philippe-senderos/profil/spieler/4277,Success,4277,spieler,Philippe Senderos,14/02/1985 (40),Genf,"1,89 m",Switzerland  Spain,Defender - Centre-Back,right,Not found,FC Chiasso,1/1/2020,-,Not found,18,844,239,Yes,1/1/2020,Not found,13
Stéphane Sessègnon,https://www.transfermarkt.com/stphane-sessgnon/profil/spieler/37157,Success,37157,spieler,Stéphane Sessègnon,01/06/1984 (41),Allahe,"1,72 m",Benin,Midfield - Attacking Midfield,right,Not found,Sirens FC,1/7/2024,-,Not found,4,93,14,Yes,1/7/2024,Not found,4
Ryan Shawcross,https://www.transfermarkt.com/ryan-shawcross/profil/spieler/45861,Success,45861,spieler,Ryan Shawcross,04/10/1987 (38),Chester,"1,91 m",England  Wales,Defender - Centre-Back,right,Not found,Miami,11/1/2022,-,adidas,14,745,109,Yes,11/1/2022,Not found,7
Jonjo Shelvey,https://www.transfermarkt.com/jonjo-shelvey/profil/spieler/71292,Success,71292,spieler,Jonjo Shelvey,27/02/1992 (33),Romford,"1,84 m",England  Ireland,Midfield - Central Midfield,right,Not found,Arabian Falcons,28/09/2025,-,Not found,19,497,75,No,Not found,Not found,8
Nicky Shorey,https://www.transfermarkt.com/nicky-shorey/profil/spieler/13426,Success,13426,spieler,Nicky Shorey,19/02/1981 (44),Romford,"1,75 m",England,Defender - Left-Back,left,Not found,Hungerford,2/10/2016,-,Not found,1,8,2,Yes,2/10/2016,Not found,1
Ryan Shotton,https://www.transfermarkt.com/ryan-shotton/profil/spieler/92109,Success,92109,spieler,Ryan Shotton,30/09/1988 (37),Fenton,"1,89 m",England,Defender - Centre-Back,right,Not found,Without Club,2/10/2024,-,Nike,2,16,4,No,Not found,Not found,1
Mamady Sidibé,https://www.transfermarkt.com/mamady-sidib/profil/spieler/14069,Success,14069,spieler,Mamady Sidibé,18/12/1979 (45),Bamako,"1,93 m",Mali  France,Attack - Centre-Forward,right,Not found,CSKA Sofia,25/02/2015,-,Not found,5,646,108,Yes,25/02/2015,Not found,4
Steve Sidwell,https://www.transfermarkt.com/steve-sidwell/profil/spieler/13427,Success,13427,spieler,Steve Sidwell,14/12/1982 (42),London,"1,83 m",England,Midfield - Central Midfield,right,Not found,Brighton,1/7/2018,-,Not found,6,596,94,Yes,1/7/2018,Not found,5
David Silva,https://www.transfermarkt.com/david-silva/profil/spieler/35518,Success,35518,spieler,David Silva,08/01/1986 (39),Arguineguín,"1,70 m",Spain,Midfield - Attacking Midfield,left,Not found,Real Sociedad,27/07/2023,-,Puma,32,629,155,Yes,27/07/2023,Not found,13
Paulo da Silva,https://www.transfermarkt.com/paulo-da-silva/profil/spieler/14244,Success,14244,spieler,Paulo Assunção,25/01/1980 (45),Várzea Grande,"1,73 m",Brazil  Portugal,Midfield - Defensive Midfield,right,Not found,APO Levadiakos,1/7/2014,-,Not found,0,0,0,Yes,1/7/2014,Not found,0
Danny Simpson,https://www.transfermarkt.com/danny-simpson/profil/spieler/37442,Success,37442,spieler,Danny Simpson,04/01/1987 (38),Eccles,"1,76 m",England  Jamaica,Defender - Right-Back,right,Not found,Macclesfield,26/07/2024,-,adidas,4,114,23,Yes,26/07/2024,Not found,3
Martin Škrtel,https://www.transfermarkt.com/martin-krtel/profil/spieler/24180,Success,24180,spieler,Martin Skrtel,15/12/1984 (40),Handlová,"1,91 m",Slovakia,Defender - Centre-Back,right,Not found,Raztocno,5/8/2022,-,Nike,22,707,105,No,Not found,Not found,9
Chris Smalling,https://www.transfermarkt.com/chris-smalling/profil/spieler/103427,Success,103427,spieler,Chris Smalling,22/11/1989 (36),London,"1,94 m",England  Jamaica,Defender - Centre-Back,right,Not found,Al-Fayha,2/9/2024,30/06/2026,Nike,26,792,169,No,Not found,5,12
Alan Smith,https://www.transfermarkt.com/alan-smith/profil/spieler/101327,Success,101327,spieler,Alan Smith,21/11/1962 (63),Birmingham,"1,91 m",England,Attack - Centre-Forward,Not found,Not found,Arsenal,19/07/1995,-,Not found,0,0,0,Yes,19/07/1995,Not found,0
Alexandre Song,https://www.transfermarkt.com/alexandre-song/profil/spieler/27394,Success,27394,spieler,Alex Song,09/09/1987 (38),Douala,"1,85 m",Cameroon  France,Midfield - Defensive Midfield,right,Not found,AS Arta/Solar7,14/11/2023,-,Puma,9,264,40,Yes,14/11/2023,Not found,6
Keith Southern,https://www.transfermarkt.com/keith-southern/profil/spieler/44986,Success,44986,spieler,Keith Southern,24/04/1981 (44),Gateshead,"1,78 m",England,Midfield - Central Midfield,right,Not found,Fleetwood,1/7/2015,-,Not found,0,0,0,Yes,1/7/2015,Not found,0
Jay Spearing,https://www.transfermarkt.com/jay-spearing/profil/spieler/52111,Success,52111,spieler,Jay Spearing,25/11/1988 (37),Wallasey,"1,68 m",England,Midfield - Defensive Midfield,right,Not found,Liverpool U21,1/7/2022,-,Not found,4,95,17,No,Not found,71,2
Jonathan Spector,https://www.transfermarkt.com/jonathan-spector/profil/spieler/24637,Success,24637,spieler,Jonathan Spector,01/03/1986 (39),"Arlington Heights, Illinois","1,83 m",United States  Germany,Defender - Centre-Back,right,Not found,Hibernian FC,11/8/2019,-,Not found,7,385,69,Yes,11/8/2019,Not found,5
Jordan Spence,https://www.transfermarkt.com/jordan-spence/profil/spieler/61588,Success,61588,spieler,Jordan Spence,24/05/1990 (35),London,"1,89 m",England,Defender - Right-Back,right,Not found,ADO Den Haag,1/7/2020,-,Not found,0,0,0,Yes,1/7/2020,Not found,0
