league_url,league_country,league_level,league_name_tm
https://www.transfermarkt.com/azadegan-league/startseite/wettbewerb/IRN2,Iran,Second Tier,Azadegan League 25/26
https://www.transfermarkt.com/bundesliga/startseite/wettbewerb/A1,Austria,First Tier,Bundesliga 25/26
https://www.transfermarkt.com/fortuna-liga/startseite/wettbewerb/TS1,Czech Republic,First Tier,Chance Liga 25/26
https://www.transfermarkt.com/eliteserien/startseite/wettbewerb/NO1,Norway,First Tier,Eliteserien 2026
https://www.transfermarkt.com/veikkausliiga/startseite/wettbewerb/FI1,Finland,First Tier,Veikkausliiga 2026
https://www.transfermarkt.com/3-lig-grup-1/startseite/wettbewerb/TR4A,Türkiye,Fourth Tier,3.Lig Grup 1 25/26
https://www.transfermarkt.com/usl-league-one/startseite/wettbewerb/USC3,United States,Third Tier,USL League One 2026
https://www.transfermarkt.com/usl-championship/startseite/wettbewerb/USL,United States,Second Tier,USL Championship 2026
https://www.transfermarkt.com/3-liga-gruppe-ii/startseite/wettbewerb/PL32,Poland,Fourth Tier,Betclic 3 Liga
https://www.transfermarkt.com/championnat-national-2-groupe-a/startseite/wettbewerb/CN2A,France,Fourth Tier,Championnat National 2
https://www.transfermarkt.com/kakkonen-gruppe-a/startseite/wettbewerb/FI3A,Finland,Fourth Tier,Kakkonen
https://www.transfermarkt.com/persha-liga/startseite/wettbewerb/UKR2,Ukraine,Second Tier,Persha Liga 25/26
https://www.transfermarkt.com/segunda-division-b-grupo-ii-bis-20-21-/startseite/wettbewerb/ES3B,Spain,Third Tier,Segunda División B
https://www.transfermarkt.com/segunda-division-b-grupo-iv-bis20-21-/startseite/wettbewerb/ES3D,Spain,Third Tier,Segunda División B
https://www.transfermarkt.com/ligat-haal/startseite/wettbewerb/ISR1,Israel,First Tier,Ligat ha'Al 25/26
https://www.transfermarkt.com/league-two/startseite/wettbewerb/GB4,England,Fourth Tier,League Two 25/26
https://www.transfermarkt.com/primera-b/startseite/wettbewerb/CL2B,Chile,Second Tier,Liga de Ascenso  2026
https://www.transfermarkt.com/liga-1-apertura/startseite/wettbewerb/TDeA,Peru,First Tier,Liga 1 Apertura 2026
https://www.transfermarkt.com/regionalliga-bayern/startseite/wettbewerb/RLB3,Germany,Fourth Tier,Regionalliga Bayern 25/26
https://www.transfermarkt.com/serie-d-girone-i/startseite/wettbewerb/IT4I,Italy,Fourth Tier,Serie D
https://www.transfermarkt.com/liga-de-ascenso-torneo-competencia/startseite/wettbewerb/UR2T,Uruguay,Second Tier,Segunda División
https://www.transfermarkt.com/torneo-apertura/startseite/wettbewerb/VZ1A,Venezuela,First Tier,Liga FUTVE Apertura 2026
https://www.transfermarkt.com/division-profesional-apertura/startseite/wettbewerb/BO1A,Bolivia,First Tier,División Profesional 2026
https://www.transfermarkt.com/challenge-league/startseite/wettbewerb/C2,Switzerland,Second Tier,Challenge League 25/26
https://www.transfermarkt.com/primera-nacional/startseite/wettbewerb/ARG2,Argentina,Second Tier,Primera Nacional 2026
https://www.transfermarkt.com/torneo-dimayor/startseite/wettbewerb/CO2T,Colombia,Second Tier,Torneo DIMAYOR I 2026
https://www.transfermarkt.com/cbf-brasileiro-u20/startseite/wettbewerb/CB20,Brazil,,CBF Brasileiro U20 2026
https://www.transfermarkt.com/campeonato-catarinense-quadrangular-de-rebaixame/startseite/wettbewerb/BRP3,Brazil,,Campeonato Catarinense
https://www.transfermarkt.com/i-league/startseite/wettbewerb/INIL,India,Second Tier,Indian Football League 25/26
https://www.transfermarkt.com/serie-d-girone-d/startseite/wettbewerb/IT4D,Italy,Fourth Tier,Serie D
