player_name,player_url,status,name_home_country,dob_age,place_birth,height,citizenship,position,foot,debut_season,debut_age,first_club,debut_year,transfermarkt_id,transfermarkt_url
Steven Caldwell,https://fbref.com/en/players/6839f68e/Steven-Caldwell,Success,Not found,"September 12, 1980",Not found,180cm,Scotland sct,DF (CB-FB),Right,2000-2001,19 years,Newcastle Utd,2000,3462,https://www.transfermarkt.com/steven-caldwell/profil/spieler/3462
DJ Campbell,https://fbref.com/en/players/d9129797/DJ-Campbell,Success,Not found,"November 12, 1981",Not found,178cm,Not found,FW,Not found,2005-2006,23 years,Brentford,2005,37896,https://www.transfermarkt.com/dj-campbell/profil/spieler/37896
Fraizer Campbell,https://fbref.com/en/players/81d63375/Fraizer-Campbell,Success,Not found,"September 13, 1987",Not found,180cm,England eng,FW,Right,2007-2008,19 years,Hull City,2007,42411,https://www.transfermarkt.com/fraizer-campbell/profil/spieler/42411
Sol Campbell,https://fbref.com/en/players/3e3b2fbd/Sol-Campbell,Success,Not found,"September 18, 1974",Not found,188cm,England eng,DF-FW (CB),Not found,1992-1993,17 years,Tottenham,1992,3198,https://www.transfermarkt.com/sol-campbell/profil/spieler/3198
John Carew,https://fbref.com/en/players/91ef929d/John-Carew,Success,Not found,"September 5, 1979",Not found,193cm,Norway,FW,Not found,2000,20 years,Rosenborg,Not found,3570,https://www.transfermarkt.com/john-carew/profil/spieler/3570
David Carney,https://fbref.com/en/players/f3041886/David-Carney,Success,Not found,"November 30, 1983",Not found,181cm,Australia,"DF-MF (FB-WM, left)",Not found,2005-2006,21 years,Sydney FC,2005,10387,https://www.transfermarkt.com/david-carney/profil/spieler/10387
Stephen Carr,https://fbref.com/en/players/eb0ae1e9/Stephen-Carr,Success,Not found,"August 29, 1976",Not found,175cm,Republic of Ireland,"DF (FB, right)",Not found,1993-1994,16 years,Tottenham,1993,4046,https://www.transfermarkt.com/stephen-carr/profil/spieler/4046
Jamie Carragher,https://fbref.com/en/players/d0ebce19/Jamie-Carragher,Success,Not found,"January 28, 1978",Not found,185cm,England eng,"DF-MF (CB-DM-FB, right)",Not found,1996-1997,18 years,Liverpool,1996,3597,https://www.transfermarkt.com/jamie-carragher/profil/spieler/3597
Michael Carrick,https://fbref.com/en/players/ab7263c1/Michael-Carrick,Success,Not found,"July 28, 1981",Not found,188cm,England eng,MF (CM-DM),Both,1999-2000,18 years,West Ham,1999,3878,https://www.transfermarkt.com/michael-carrick/profil/spieler/3878
Andy Carroll,https://fbref.com/en/players/b581987a/Andy-Carroll,Success,Not found,"January 6, 1989",Not found,191cm,England eng,FW,Left,2006-2007,17 years,Newcastle Utd,2006,48066,https://www.transfermarkt.com/andy-carroll/profil/spieler/48066
Scott Carson,https://fbref.com/en/players/3e1550ee/Scott-Carson,Success,Not found,"September 3, 1985",Not found,192cm,England eng,GK,Right,2003-2004,17 years,Leeds United,2003,14555,https://www.transfermarkt.com/scott-carson/profil/spieler/14555
Craig Cathcart,https://fbref.com/en/players/89e4b358/Craig-Cathcart,Success,Not found,"February 6, 1989",Not found,188cm,Northern Ireland nir,DF (CB),Right,2008-2009,19 years,Plymouth Argyle,2008,59606,https://www.transfermarkt.com/craig-cathcart/profil/spieler/59606
