player_name,current_club,position,age,nationality
Enrique de Lucas,Not found,FW-MF (AM),Not found,Spain
Enrique Sola,Not found,FW,Not found,Spain
Enzo Maresca,Not found,MF,Not found,Italy
Enzo Pérez,River Plate,MF (CM-DM),39-292d,Argentina
Enzo Roco,Fatih Karagümrük SK,DF (CB),33-117d,Chile
Eric Bailly,Oviedo,"DF (CB, right)",31-243d,Côte d'Ivoire
Eric López,Not found,MF,Not found,Not found
Erik Morán,Not found,MF (CM-DM),Not found,Spain
Ernesto Galán,Not found,"DF (FB, right)",Not found,Not found
Esteban,Not found,GK,Not found,Spain
Esteban Granero,Not found,MF,Not found,Spain
Evaldo Fabiano,Not found,"DF (FB, left)",Not found,Not found
Ezequiel Calvente,Not found,"FW-MF (WM, left)",Not found,Spain
Ezequiel Garay,Not found,"DF (CB, right)",Not found,Argentina
Ezequiel Rescaldani,Not found,FW,Not found,Not found
Fábio Coentrão,Not found,"DF (FB, left)",Not found,Portugal
Fabián Orellana,Not found,FW-MF (AM-WM),Not found,Chile
Fabián Vargas,Not found,MF (CM-DM),Not found,Colombia
Fabinho,Al Ittihad Jeddah,DF-MF (CM-DM-FB),32-049d,Brazil
Fabrice Olinga,Not found,FW-MF,Not found,Cameroon
Fabricio,Not found,GK,Not found,Spain
Fausto Rossi,Vicenza,"MF (CM-DM-WM, left)",35-008d,Italy
Fausto Tienza,Not found,MF,Not found,Not found
Fayçal Fajr,Al Jubail Saudi Club,MF (AM-CM-DM),37-132d,Morocco ma  Other: France
Fede Vico,Ibiza,MF (AM-WM),31-160d,Spain
Federico Cartabia,Al Ahli,"MF (WM, right)",32-325d,Argentina
Federico Fazio,Not found,DF (CB),Not found,Argentina
Federico Fernández,Not found,DF (CB),Not found,Argentina
Federico Piovaccari,AC Virtus,FW,41-101d,Italy
Felipe Caicedo,Barcelona,FW-MF (WM),37-097d,Ecuador
Felipe Mattioni,Not found,"DF (CB-FB, right)",Not found,Not found
Fernando,Not found,FW-MF (AM),Not found,Spain
Fernando Amorebieta,Not found,DF (CB),Not found,Venezuela ve  Other: Spain
Fernando Cavenaghi,Not found,FW,Not found,Argentina
Fernando Gago,Not found,MF (DM-WM),Not found,Argentina
Fernando Llorente,Not found,FW,Not found,Spain
Fernando Meira,Not found,DF-MF (CB-DM),Not found,Portugal
Fernando Navarro,Not found,"DF (FB, left)",Not found,Spain
Fernando Soriano,Not found,MF (CM-DM),Not found,Spain
Fernando Tissone,Not found,MF (CM),Not found,Not found
Fernando Torres,Not found,FW,Not found,Spain
Ferran Corominas,Not found,FW-MF (WM),Not found,Spain
Fidel,Eldense,"FW-MF (AM-WM, left)",36-045d,Not found
Filipe Augusto,Qingdao Jonoon,MF (CM-DM),32-121d,Brazil
Filipe Luís,Not found,"DF (CB-FB, left)",Not found,Brazil
Flávio Ferreira,Not found,DF-MF (CB-DM),Not found,Not found
Florent Sinama Pongolle,Not found,FW,Not found,France fr  Other: Réunion
Florian Lejeune,Rayo Vallecano,DF-MF (CB),34-205d,France
Florin Andone,CD Atlético Baleares,FW,32-244d,Romania
Formose Mendy,Not found,MF,Not found,Guinea-Bissau gw  Other: Senegal
Frédéric Kanouté,Not found,FW,Not found,Mali ml  Other: France
Fran Mérida,Not found,MF (CM-DM),Not found,Spain
Fran Rico,Not found,MF,Not found,Not found
Fran Serrano,Not found,DF,Not found,Not found
Fran Sol,Not found,FW,Not found,Not found
Fran Vélez,Cartagena,DF-MF (CB),34-171d,Not found
Francesc Arnau,Not found,GK,Not found,Spain
Francis,Not found,"DF-MF (FB, right)",Not found,Not found
Francisco Portillo,Huesca,"MF (AM-WM, right)",35-181d,Not found
Francisco Puñal,Not found,MF (DM),Not found,Not found
Francisco Rufete,Not found,"MF (AM-WM, right)",Not found,Spain
Francisco Silva,Not found,DF-MF (CB-DM),Not found,Chile
Francisco Sutil,Not found,DF-FW-MF (AM-WM),Not found,Not found
Franco Fragapane,Union de Santa Fe,"FW-MF (AM-WM, left)",32-308d,Argentina
Franco Jara,Belgrano,FW,37-149d,Argentina
Franco Vázquez,Cremonese,FW-MF (AM-CM),36-292d,Argentina ar  Other: Italy
Franco Zuculini,Not found,MF (DM),Not found,Argentina
Fredy Hinestroza,Atletico Bucaramanga,"DF-MF (AM-FB-WM, left)",35-250d,Colombia
Gaël Kakuta,Sakaryaspor,FW-MF (AM-WM),34-173d,Congo DR cd  Other: France
Gabi,Not found,MF (CM-DM),Not found,Spain
Gabriel Milito,Not found,DF (CB),Not found,Argentina
Gabriel Paulista,Beşiktaş,DF (CB),35-015d,Not found
Gabriel Torje,Not found,"FW-MF (AM-WM, right)",Not found,Romania
